example_id,label,statement,law_id,article_id,segment
g4rqqRWpdb,Yes,"Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc",Luật Viên chức 2010,28,"Trong quá_trình thực_hiện hợp_đồng làm_việc , nếu một bên có yêu_cầu thay_đổi nội_dung hợp_đồng làm_việc thì phải báo cho bên kia biết trước ít_nhất 03 ngày làm_việc"
4dE11xmkXc,No,"Trước 03 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức phải thông báo bằng văn bản về thời điểm nghỉ hưu",Luật Viên chức 2010,46,"Trước 03 tháng , tính đến ngày viên_chức nghỉ hưu , cơ_quan , tổ_chức , đơn_vị quản_lý_viên_chức phải thông_báo bằng văn_bản về thời_điểm nghỉ hưu"
X2H73lQFHY,Yes,Không được phép lợi dụng hoạt động giáo dục để xuyên tạc chủ trương và chống phá nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam.,Luật Giáo dục 2019,21,Không được phép lợi_dụng hoạt_động giáo_dục để xuyên_tạc chủ_trương và chống_phá nhà_nước Cộng_hoà_xã_hội_chủ_nghĩa_Việt_Nam .
4bjolT6L3z,Yes,Chính phủ là cơ quan thống nhất quản lý nhà nước về thanh niên ,Luật Thanh niên 2020,37,Chính_phủ là cơ_quan thống_nhất quản_lý_nhà_nước về thanh_niên
zbVo7IuSOp,Yes,"Đoàn Thanh niên Cộng sản Hồ Chí Minh là cơ quan có trách nhiệm tổng hợp, phản ánh ý kiến, kiến nghị của thanh niên đến cơ quan, tổ chức có thẩm quyền",Luật Thanh niên 2020,28,"Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh là cơ_quan có trách_nhiệm tổng_hợp , phản_ánh ý_kiến , kiến_nghị của thanh_niên đến cơ_quan , tổ_chức có thẩm_quyền"
61bCyfsfYX,No,Cho phép truyền bá tôn giáo và thực hiện các nghi lễ tôn giáo trong cơ sở giáo dục của hệ thống giáo dục quốc dân và tổ chức chính trị.,Luật Giáo dục 2019,20,Cho_phép truyền_bá tôn_giáo và thực_hiện các nghi_lễ tôn_giáo trong cơ_sở giáo_dục của hệ_thống giáo_dục quốc_dân và tổ_chức chính_trị .
dIIYvZHbtq,No,Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật nhằm mục đích nào sau đây? Trả lời: Đi du học nước ngoài.,Luật Giáo dục 2019,64,Trường_giáo_dưỡng có nhiệm_vụ giáo_dục người chưa thành_niên vi_phạm pháp_luật nhằm mục_đích nào sau đây ? Trả_lời : Đi du_học nước_ngoài .
H6PxIjmdgH,Yes,"Nền giáo dục Việt Nam là nền giáo dục xã hội chủ nghĩa có tính nhân dân, và dân tộc, mang tính khoa học, hiện đại.",Luật Giáo dục 2019,3,"Nền giáo_dục Việt_Nam là nền giáo_dục xã_hội_chủ_nghĩa có tính_nhân_dân , và dân_tộc , mang tính khoa_học , hiện_đại ."
4O7z6fOAPJ,No,Khoảng thời gian cai nghiện ma túy tự nguyện tại cơ sở cai nghiện ma túy là bao lâu? Trả lời: Từ 48 tháng đến 60 tháng,"Luật Phòng, chống ma túy 2021",31,Khoảng thời_gian cai_nghiện ma_tuý tự_nguyện tại cơ_sở cai_nghiện ma_tuý là bao_lâu ? Trả_lời : Từ 48 tháng đến 60 tháng
gtjDrBrJ19,No,"Trong vòng 05 ngày làm việc, kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã, phường có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương.","Luật Phòng, chống ma túy 2021",23,"Trong vòng 05 ngày làm_việc , kể từ ngày nhận được kết_quả xét_nghiệm dương_tính của người cư_trú tại địa_phương , Chủ_tịch Uỷ_ban_nhân_dân cấp xã , phường có trách_nhiệm ra quyết_định và tổ_chức quản_lý người sử_dụng trái_phép chất ma_tuý cư_trú tại địa_phương ."
LxjhKFcDMD,No,"Thứ trưởng Bộ Giáo dục và Đào tạo trong phạm vi nhiệm vụ, quyền hạn của mình, quy định chi tiết về chương trình, sách giáo khoa, giáo trình, tài liệu cho giáo dục thường xuyên.",Luật Giáo dục 2019,43,"Thứ_trưởng Bộ Giáo_dục và Đào_tạo trong phạm_vi nhiệm_vụ , quyền_hạn của mình , quy_định chi_tiết về chương_trình , sách_giáo_khoa , giáo_trình , tài_liệu cho giáo_dục thường_xuyên ."
jnGYfFIs7N,Yes,"Thanh niên hoàn thành nghĩa vụ quân sự, nghĩa vụ tham gia Công an nhân dân được hưởng chính sách hỗ trợ đào tạo nghề theo quy định",Luật Thanh niên 2020,21,"Thanh_niên hoàn_thành nghĩa_vụ_quân_sự , nghĩa_vụ tham_gia Công_an nhân_dân được hưởng chính_sách hỗ_trợ đào_tạo nghề theo quy_định"
E3nezW9AK0,No,Phim loại C là phim được phép phổ biến đến người xem ở mọi độ tuổi,Luật Điện ảnh 2022,32,Phim loại C là phim được phép phổ_biến đến người xem ở mọi độ tuổi
NILu7qLntt,Yes,"Hình thức đào tạo, bồi dưỡng viên chức gồm: Đào tạo, bồi dưỡng theo tiêu chuẩn chức vụ quản lý, bồi dưỡng theo tiêu chuẩn chức danh nghề nghiệp, và bồi dưỡng nhằm bổ sung, cập nhật kiến thức, kỹ năng phục vụ hoạt động nghề nghiệp. ",Luật Viên chức 2010,33,"Hình_thức đào_tạo , bồi_dưỡng_viên_chức gồm : Đào_tạo , bồi_dưỡng theo tiêu_chuẩn chức_vụ quản_lý , bồi_dưỡng theo tiêu_chuẩn chức_danh nghề_nghiệp , và bồi_dưỡng nhằm bổ_sung , cập_nhật kiến_thức , kỹ_năng phục_vụ hoạt_động nghề_nghiệp ."
HxZtqBzeEZ,Yes,Tháng 3 hằng năm là Tháng Thanh niên,Luật Thanh niên 2020,9,Tháng 3 hằng năm là Tháng_Thanh niên
BkupPYuKXv,Yes,"Bộ trưởng Bộ Giáo dục và Đào tạo không được quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên.",Luật Giáo dục 2019,6,"Bộ_trưởng Bộ Giáo_dục và Đào_tạo không được quy_định ngưỡng đầu vào trình_độ cao_đẳng , trình_độ đại_học thuộc ngành đào_tạo giáo_viên ."
3ZjbFGpytH,No,Người đứng đầu đơn vị sự nghiệp công lập đơn phương có quyền quyết định ký kết tiếp hoặc chấm dứt hợp đồng làm việc đối với viên chức.,Luật Viên chức 2010,28,Người đứng đầu_đơn vị sự_nghiệp công_lập đơn_phương có quyền quyết_định ký_kết tiếp hoặc chấm_dứt hợp_đồng làm_việc đối_với_viên_chức .
6T9RLlCXIy,No,"Đơn vị sự nghiệp có quyền đơn phương chấm dứt hợp đồng đối với viên chức khi viên chức ốm đau hoặc bị tai nạn, đang điều trị bệnh nghề nghiệp theo quyết định của cơ sở chữa bệnh",Luật Viên chức 2010,29,"Đơn_vị sự_nghiệp có quyền đơn_phương chấm_dứt hợp_đồng đối_với_viên_chức khi viên_chức ốm_đau hoặc bị tai_nạn , đang điều_trị bệnh_nghề_nghiệp theo quyết_định của cơ_sở chữa bệnh"
smWUCz4HtS,Yes,"Bộ Nội Vụ là cơ quan nào chủ trì, phối hợp với các bộ, cơ quan ngang bộ có liên quan quy định hệ thống danh mục, tiêu chuẩn và mã số chức danh nghề nghiệp",Luật Viên chức 2010,8,"Bộ Nội_Vụ là cơ_quan nào chủ_trì , phối_hợp với các bộ , cơ_quan ngang bộ có liên_quan quy_định hệ_thống danh_mục , tiêu_chuẩn và mã_số chức_danh nghề_nghiệp"
W51vKx6Y5S,Yes,Chương trình giáo dục cần phải thể hiện mục tiêu giáo dục và yêu cầu người học phải đạt về phẩm chất và năng lực tương ứng.,Luật Giáo dục 2019,8,Chương_trình giáo_dục cần phải thể_hiện mục_tiêu giáo_dục và yêu_cầu người học phải đạt về phẩm_chất và năng_lực tương_ứng .
7yASh5EiMy,No,"Trách nhiệm của Bộ Công an trong việc phòng, chống ma túy là gì? Trả lời: Chỉ đạo lực lượng Bộ đội Biên phòng, Cảnh sát biển Việt Nam trong việc phòng chống ma túy.","Luật Phòng, chống ma túy 2021",46,"Trách_nhiệm của Bộ Công_an trong việc phòng , chống ma_tuý là gì ? Trả_lời : Chỉ_đạo lực_lượng Bộ_đội Biên_phòng , Cảnh_sát biển Việt_Nam trong việc phòng_chống ma_tuý ."
5aJlXB1eST,Yes,Việc đánh giá viên chức được thực hiện hàng năm,Luật Viên chức 2010,41,Việc đánh_giá_viên_chức được thực_hiện hàng năm
lQ9frTtrtV,No,"Đối với trường hợp người được tuyển dụng dưới 18 tuổi, hợp đồng lao động chỉ cần ghi họ tên, địa chỉ, ngày, tháng, năm sinh của người đại diện theo pháp luật của người được tuyển dụng",Luật Viên chức 2010,26,"Đối_với trường_hợp người được tuyển_dụng dưới 18 tuổi , hợp_đồng lao_động chỉ cần ghi họ tên , địa_chỉ , ngày , tháng , năm sinh của người đại_diện theo pháp_luật của người được tuyển_dụng"
u4ykYXXEms,Yes,Viên chức được hoạt động nghề nghiệp ngoài thời gian làm việc quy định trong hợp đồng làm việc và theo đúng các quy định của Pháp luật,Luật Viên chức 2010,14,Viên_chức được hoạt_động nghề_nghiệp ngoài thời_gian làm_việc quy_định trong hợp_đồng làm_việc và theo đúng các quy_định của Pháp_luật
x3S4gfwqxV,Yes,Cơ sở cai nghiện ma túy công lập là Chủ tịch Ủy ban nhân dân cấp tỉnh ra quyết định thành lập.,"Luật Phòng, chống ma túy 2021",35,Cơ_sở cai_nghiện ma_tuý công_lập là Chủ_tịch Uỷ_ban_nhân_dân cấp tỉnh ra quyết_định thành_lập .
ZtB35RZhRI,No,Phương pháp giáo dục thường xuyên phải phát huy tính thụ động của người học.,Luật Giáo dục 2019,43,Phương_pháp giáo_dục thường_xuyên phải phát_huy tính thụ_động của người học .
GE9biFGIt1,No,"Doanh nghiệp, tổ chức được yêu cầu phải ưu tiên tuyển dụng thanh niên là người dân tộc thiểu số",Luật Thanh niên 2020,25,"Doanh_nghiệp , tổ_chức được yêu_cầu phải ưu_tiên tuyển_dụng thanh_niên là người dân_tộc_thiểu_số"
pyuKTtaCxe,Yes,"Bộ Văn hóa, Thể thao và Du lịch là cơ quan giúp Chính phủ thực hiện quản lý nhà nước về điện ảnh",Luật Điện ảnh 2022,45,"Bộ Văn_hoá , Thể_thao và Du_lịch là cơ_quan giúp Chính_phủ thực_hiện quản_lý_nhà_nước về điện_ảnh"
nkiX0ToLxf,No,Nguồn tài chính bảo đảm thực hiện chính sách đối với thanh niên chỉ gồm nguồn tài chính từ ngân sách nhà nước,Luật Thanh niên 2020,6,Nguồn tài_chính bảo_đảm thực_hiện chính_sách đối_với thanh_niên chỉ gồm nguồn tài_chính từ ngân_sách nhà_nước
San2cDUQSm,Yes,Người cai nghiện ma túy tự nguyện tại cơ sở cai nghiện ma túy phải có trách nhiệm nộp chi phí liên quan đến cai nghiện ma túy.,"Luật Phòng, chống ma túy 2021",31,Người cai_nghiện ma_tuý tự_nguyện tại cơ_sở cai_nghiện ma_tuý phải có trách_nhiệm nộp chi_phí liên_quan đến cai_nghiện ma_tuý .
Q7hGQ5owqU,Yes,"Cơ quan Hải quan có trách nhiệm trong việc kiểm soát hoạt động quá cảnh lãnh thổ Việt Nam chất ma túy, tiền chất, thuốc gây nghiện.","Luật Phòng, chống ma túy 2021",17,"Cơ_quan Hải_quan có trách_nhiệm trong việc kiểm_soát hoạt_động quá_cảnh lãnh_thổ Việt_Nam chất ma_tuý , tiền chất , thuốc gây nghiện ."
t9xUgIsTa6,No,Tiếng Anh được dùng chính thức trong cơ sở giáo dục.,Luật Giáo dục 2019,11,Tiếng Anh được dùng chính_thức trong cơ_sở giáo_dục .
vER50gJIY7,Yes,"Mục tiêu của giáo dục thường xuyên là nhằm mục đích tạo điều kiện cho mọi người có cơ hội vừa làm vừa học, học liên tục",Luật Giáo dục 2019,41,"Mục_tiêu của giáo_dục thường_xuyên là nhằm mục_đích tạo điều_kiện cho mọi người có cơ_hội vừa làm vừa học , học liên_tục"
PqLFyODSMe,Yes,"Người trúng tuyển viên chức đã có thời gian từ đủ 12 tháng trở lên thực hiện chuyên môn, nghiệp vụ phù hợp với yêu cầu của vị trí việc làm được tuyển dụng không phải thực hiện chế độ tập sự",Luật Viên chức 2010,27,"Người trúng_tuyển_viên_chức đã có thời_gian từ đủ 12 tháng trở lên thực_hiện chuyên_môn , nghiệp_vụ phù_hợp với yêu_cầu của vị_trí việc_làm được tuyển_dụng không phải thực_hiện chế_độ tập_sự"
FsWvvO33Ct,No,Nhà giáo có vai trò nào sau đây? Trả lời: Đi du học nước ngoài nhằm nâng cao kiến thức.,Luật Giáo dục 2019,66,Nhà_giáo có vai_trò nào sau đây ? Trả_lời : Đi du_học nước_ngoài nhằm nâng cao kiến thức .
wIaqSKIotB,Yes,"Bộ Văn hóa, Thể thao và Du lịch và Ủy ban nhân dân có thẩm quyền cấp giấy phép phân loại phim khi đáp ứng các điều kiện theo quy định của Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch",Luật Điện ảnh 2022,27,"Bộ Văn_hoá , Thể_thao và Du_lịch và Uỷ_ban_nhân_dân có thẩm_quyền cấp giấy_phép phân_loại phim khi đáp_ứng các điều_kiện theo quy_định của Bộ_trưởng Bộ Văn_hoá , Thể_thao và Du_lịch"
hqnWjRtgDK,No,Việc tuyển dụng viên chức chỉ được thực hiện thông qua thi tuyển,Luật Viên chức 2010,23,Việc tuyển_dụng_viên_chức chỉ được thực_hiện thông_qua thi_tuyển
7eoNvR742A,Yes,"Chủ sở hữu phim có nghĩa vụ mở mã khóa phim để đối chiếu, kiểm tra khi có yêu cầu của cơ quan nhà nước có thẩm quyền",Luật Điện ảnh 2022,35,"Chủ_sở_hữu phim có nghĩa_vụ mở mã khoá phim để đối_chiếu , kiểm_tra khi có yêu_cầu của cơ_quan nhà_nước có thẩm_quyền"
PXDpRnKfph,No,Phát triển giáo dục không phải là quốc sách hàng đầu.,Luật Giáo dục 2019,2,Phát_triển giáo_dục không phải là quốc_sách hàng_đầu .
g0tEL4A3EC,Yes,"Cơ quan, tổ chức có trách nhiệm tạo điều kiện thuận lợi cho cán bộ, công chức, viên chức và người lao động được thường xuyên học tập, học tập suốt đời để nhằm mục đích phát triển bản thân và nâng cao chất lượng cuộc sống.",Luật Giáo dục 2019,46,"Cơ_quan , tổ_chức có trách_nhiệm tạo điều_kiện thuận_lợi cho cán_bộ , công_chức , viên_chức và người lao_động được thường_xuyên học_tập , học_tập suốt đời để nhằm mục_đích phát_triển bản_thân và nâng cao chất_lượng cuộc_sống ."
vawQxejhbP,No,Cơ sở cai nghiện ma túy không có trách nhiệm cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy.,"Luật Phòng, chống ma túy 2021",31,Cơ_sở cai_nghiện ma_tuý không có trách_nhiệm cấp giấy xác_nhận hoàn_thành cai_nghiện ma_tuý tự_nguyện cho người cai_nghiện ma_tuý .
ESrSFegdnP,Yes,"Tổ chức thanh niên gồm Đoàn Thanh niên Cộng sản Hồ Chí Minh, Hội Liên hiệp Thanh niên Việt Nam, Hội Sinh viên Việt Nam và các tổ chức khác của thanh niên được thành lập, tổ chức và hoạt động theo quy định của pháp luật",Luật Thanh niên 2020,27,"Tổ_chức thanh_niên gồm Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh , Hội Liên_hiệp Thanh_niên Việt_Nam , Hội Sinh_viên Việt_Nam và các tổ_chức khác của thanh_niên được thành_lập , tổ_chức và hoạt_động theo quy_định của pháp_luật"
tXRGZXvUPj,No,Người đã chấp hành xong quyết định áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc chịu sự quản lý sau cai nghiện ma túy trong thời hạn 05 năm kể từ ngày chấp hành xong quyết định.,"Luật Phòng, chống ma túy 2021",40,Người đã chấp_hành xong quyết_định áp_dụng biện_pháp xử_lý hành_chính đưa vào cơ_sở cai_nghiện bắt_buộc chịu sự quản_lý sau cai_nghiện ma_tuý trong thời_hạn 05 năm kể từ ngày chấp_hành xong quyết_định .
ddUhS1oQlT,No,Cơ sở cai nghiện ma túy tự nguyện là do cơ quan nhà nước thành lập ra.,"Luật Phòng, chống ma túy 2021",36,Cơ_sở cai_nghiện ma_tuý tự_nguyện là do cơ_quan nhà_nước thành_lập ra .
70KK5g4fPJ,No,"Được phép gian lận trong học tập và thi cử. Đồng thời cho phép học sinh được hút thuốc, uống rượu bia và cờ bạc.",Luật Giáo dục 2019,22,"Được phép gian_lận trong học_tập và thi_cử . Đồng_thời cho_phép học_sinh được hút thuốc , uống rượu_bia và cờ_bạc ."
cCS4VENPft,Yes,"Chức danh nghề nghiệp là tên gọi thể hiện trình độ và năng lực chuyên môn, nghiệp vụ của viên chức trong từng lĩnh vực nghề nghiệp",Luật Viên chức 2010,8,"Chức_danh nghề_nghiệp là tên gọi thể_hiện trình_độ và năng_lực chuyên_môn , nghiệp_vụ của viên_chức trong từng lĩnh_vực nghề_nghiệp"
p4zs0isjph,Yes,Công an cấp xã có trách nhiệm giúp Ủy ban nhân dân cùng cấp lập danh sách những người sử dụng trái phép chất ma túy tại địa phương.,"Luật Phòng, chống ma túy 2021",26,Công_an cấp xã có trách_nhiệm giúp Uỷ_ban_nhân_dân cùng cấp lập danh_sách những người sử_dụng trái_phép chất ma_tuý tại địa_phương .
eDDeyyw6JY,Yes,Ngân sách nhà nước đóng giữ vai trò chủ đạo trong tổng nguồn lực đầu tư cho giáo dục.,Luật Giáo dục 2019,17,Ngân_sách nhà_nước đóng giữ vai_trò chủ_đạo trong tổng nguồn_lực đầu_tư cho giáo_dục .
OU3MJaS8Si,No,"Đơn vị sự nghiệp công lập không thể ký hợp đồng vụ, việc với người hưởng chế độ hưu trí, kể cả trường hợp đơn vị có nhu cầu và người hưởng chế độ hưu trí có nguyện vọng",Luật Viên chức 2010,46,"Đơn_vị sự_nghiệp công_lập không_thể ký hợp_đồng vụ , việc với người hưởng chế_độ hưu_trí , kể_cả trường_hợp đơn_vị có nhu_cầu và người hưởng chế_độ hưu_trí có nguyện_vọng"
31WyXImQt7,Yes,"Trách nhiệm của cơ quan Mặt Trận Tổ Quốc Việt Nam trong việc phòng, chống ma túy là phòng ngừa, và ngăn chặn người của tổ chức mình và mọi công dân vi phạm luật phòng, chống ma túy.","Luật Phòng, chống ma túy 2021",10,"Trách_nhiệm của cơ_quan Mặt_Trận Tổ_Quốc Việt_Nam trong việc phòng , chống ma_tuý là phòng_ngừa , và ngăn_chặn người của tổ_chức mình và mọi công_dân vi_phạm luật phòng , chống ma_tuý ."
InehZtAZn9,Yes,"Viên chức bị kỷ luật từ khiển trách đến cách chức thì không thực hiện việc quy hoạch, đào tạo, bồi dưỡng, bổ nhiệm trong thời hạn 12 tháng, kể từ ngày quyết định kỷ luật có hiệu lực",Luật Viên chức 2010,56,"Viên_chức bị kỷ_luật từ khiển_trách đến cách_chức thì không thực_hiện việc quy_hoạch , đào_tạo , bồi_dưỡng , bổ_nhiệm trong thời_hạn 12 tháng , kể từ ngày quyết_định kỷ_luật có hiệu_lực"
xcuMZRBDKw,Yes,"Đoàn Thanh niên Cộng sản Hồ Chí Minh là tổ chức chính trị-xã hội của thanh niên Việt Nam, giữ vai trò nòng cốt trong phong trào thanh niên và tổ chức thanh niên; tổ chức hướng dẫn hoạt động của thiếu niên, nhi đồng, phụ trách Đội Thiếu niên tiền phong Hồ Chí Minh",Luật Thanh niên 2020,28,"Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh là tổ_chức chính trị-xã hội của thanh_niên Việt_Nam , giữ vai_trò nòng_cốt trong phong_trào thanh_niên và tổ_chức thanh_niên ; tổ_chức hướng_dẫn hoạt_động của thiếu_niên , nhi_đồng , phụ_trách Đội Thiếu_niên tiền_phong Hồ_Chí_Minh"
3lEnngVd8Z,Yes,Viên chức bị khiển trách thì thời hạn nâng lương bị kéo dài 03 tháng,Luật Viên chức 2010,9,Viên_chức bị khiển_trách thì thời_hạn nâng lương bị kéo_dài 03 tháng
